ID	task	realtime_M	cpu	peak_rss_G
as_sample_6	MaxBin2	18.633333333333333	1050.0	0.27744140625
as_sample_5	MaxBin2	22.95	1003.1	2.9
as_sample_12	MaxBin2	24.733333333333334	862.1	1.5
as_sample_6	MetaBAT2	0.13333333333333333	654.1	0.05810546875
as_sample_8	MaxBin2	40.21666666666667	710.5	1.6
as_sample_6	CONCOCT	3.283333333333333	223.3	0.17880859375
as_sample_9	MaxBin2	31.816666666666666	821.0	1.6
as_sample_5	MetaBAT2	0.06666666666666667	766.6	0.11513671875
as_sample_12	MetaBAT2	1.0833333333333333	818.4	0.09453125
as_sample_6	SemiBin2	7.483333333333333	230.8	1.1
as_sample_5	CONCOCT	4.35	377.2	0.246484375
as_sample_3	MaxBin2	28.716666666666665	689.3	2.3
as_sample_12	SemiBin2	6.45	337.0	15.9
as_sample_7	MaxBin2	51.18333333333333	762.5	1.6
as_sample_12	CONCOCT	7.233333333333333	914.6	0.27578125
as_sample_8	CONCOCT	8.866666666666667	919.5	0.3419921875
as_sample_8	MetaBAT2	1.4333333333333333	876.6	0.1609375
as_sample_2	MaxBin2	24.216666666666665	961.4	1.9
as_sample_18	MaxBin2	34.6	977.9	1.9
as_sample_5	SemiBin2	11.116666666666667	291.3	1.6
as_sample_13	MaxBin2	45.75	968.9	1.5
as_sample_9	MetaBAT2	1.6333333333333333	863.0	0.15673828125
as_sample_7	MetaBAT2	3.3	850.1	0.208984375
as_sample_10	MaxBin2	38.25	710.5	2.4
as_sample_8	SemiBin2	10.283333333333333	442.3	17.3
as_sample_11	MaxBin2	51.333333333333336	685.8	1.5
as_sample_6	COMEBin	26.65	323.0	3.9
as_sample_7	SemiBin2	9.633333333333333	391.0	27.8
as_sample_9	CONCOCT	9.95	954.0	0.30849609375
as_sample_9	SemiBin2	8.533333333333333	383.8	18.6
as_sample_6	MetaBinner	27.766666666666666	242.1	2.9
as_sample_14	MaxBin2	47.45	997.7	2.9
as_sample_4	MaxBin2	49.0	599.5	1.6
as_sample_7	CONCOCT	19.866666666666667	1274.2	0.35322265625
as_sample_16	MaxBin2	56.483333333333334	1090.2	4.2
as_sample_12	MetaBinner	38.03333333333333	256.0	3.1
as_sample_11	MetaBAT2	1.8833333333333333	853.9	0.28154296875
as_sample_11	CONCOCT	7.083333333333333	741.7	0.3
as_sample_1	MaxBin2	60.016666666666666	736.9	1.5
as_sample_15	MaxBin2	69.26666666666667	929.5	1.3
as_sample_11	SemiBin2	12.616666666666667	475.2	19.7
as_sample_17	MaxBin2	70.35	734.5	1.3
as_sample_5	MetaBinner	46.6	263.0	3.7
as_sample_5	COMEBin	55.28333333333333	457.7	11.6
as_sample_20	MaxBin2	68.25	651.9	1.7
as_sample_9	MetaBinner	43.96666666666667	310.5	2.1
as_sample_8	MetaBinner	66.45	246.3	3.0
as_sample_3	MetaBAT2	4.216666666666667	800.7	0.19970703125
as_sample_10	MetaBAT2	2.533333333333333	898.8	0.22021484375
as_sample_7	MetaBinner	73.96666666666667	289.6	3.0
as_sample_13	MetaBAT2	0.15	861.0	0.1205078125
as_sample_18	MetaBAT2	0.016666666666666666	522.5	0.13701171875
as_sample_3	SemiBin2	10.433333333333334	374.4	27.0
as_sample_10	CONCOCT	10.866666666666667	989.3	0.3708984375
as_sample_3	CONCOCT	11.933333333333334	966.3	0.3412109375
as_sample_11	MetaBinner	73.3	319.1	2.8
as_sample_14	MetaBAT2	0.06666666666666667	804.2	0.15
as_sample_18	CONCOCT	4.3	355.2	0.259765625
as_sample_13	CONCOCT	6.0	666.7	0.27880859375
as_sample_2	MetaBAT2	0.26666666666666666	808.9	0.11494140625
as_sample_4	MetaBAT2	7.9	912.4	0.28115234375
as_sample_10	SemiBin2	11.85	442.6	24.0
as_sample_13	SemiBin2	8.35	380.6	13.4
as_sample_18	SemiBin2	7.866666666666667	402.9	1.7
as_sample_4	SemiBin2	11.25	424.2	58.3
as_sample_2	CONCOCT	4.333333333333333	452.3	0.256640625
as_sample_16	MetaBAT2	0.11666666666666667	875.9	0.10673828125
as_sample_15	MetaBAT2	2.4166666666666665	867.3	0.2
as_sample_14	CONCOCT	9.283333333333333	739.5	0.23203125
as_sample_14	SemiBin2	8.9	391.3	1.8
as_sample_17	MetaBAT2	5.983333333333333	870.1	0.34130859375
as_sample_3	MetaBinner	70.76666666666667	256.3	2.5
as_sample_2	SemiBin2	8.333333333333334	384.1	1.9
as_sample_16	CONCOCT	6.216666666666667	731.7	0.24443359375
